Head,Message,Type
,"Coronavirus update: Telangana reports 75 new Covid-19 cases, 2 more deaths",Genuine
,COVID-19: Bleak summer in Goa as beach shacks pack up,Genuine
,India switches off lights at 9 pm to ‘challenge Covid-19 darkness’,Genuine
,"16 coronavirus cases in Andhra Pradesh, tally jumps to 180",Genuine
,Global leaders send wishes to Boris Johnson who remains in intensive care,Genuine
,Covid-19 cases in Maharashtra inch towards 900 after 23 more test positive,Genuine
,Spain witnesses drop in coronavirus deaths for third day,Genuine
,Ten of 72 Indian coronavirus patients recover in Singapore,Genuine
,Coronavirus crisis: Govt puts curbs on exports of diagnostic kits with immediate effect,Genuine
,"Coronavirus testing, treatment free for Ayushman Bharat beneficiaries",Genuine
,Maoists in Andhra call for ceasefire amid Covid-19 outbreak,Genuine
,92 hospital staff quarantined after patient contracts Covid-19,Genuine
,WHO warns masks are no ‘silver bullet’ for ending pandemic,Genuine
,News updates from Hindustan Times: India to form clinical research collaborative on Covid-19 and all the latest news,Genuine
,Coronavirus update: Man killed in clash over setting up of quarantine centre in Bengal,Genuine
,Woman dies of Covid-19 in Ahmedabad; Gujarat death toll rises to 10,Genuine
,"63% of Covid-19 deaths in India among elderly, says govt",Genuine
,Goa to begin 3-day community survey to identify potential Covid-19 patients,Genuine
,UK PM Boris Johnson invites opposition to join in Covid-19 fight,Genuine
,3 Tablighi Jamaat members among 11 new Covid-19 cases in Kerala,Genuine
,Born in a pandemic: Hospital provides shelter to family of newborn in Pune,Genuine
,"Political ideologies aside, MPs, experts come together to fight Covid-19",Genuine
,"On World Health Day, PM Modi extends gratitude to those ‘battling the Covid-19 menace’",Genuine
,"Delhi Police asks religious leaders to follow Covid-19 lockdown, not to congregate on Shab-e-Barat",Genuine
,Coronavirus: Kejriwal shares ‘5T’ Covid-19 plan for Delhi,Genuine
,"News updates from Hindustan Times at 9 PM: Amid Covid-19 pandemic, doctor BJP MPs are returning to hospitals and all the latest news",Genuine
,Coronavirus update: EU officials wish UK PM Boris Johnson ‘a full recovery’,Genuine
,Covid-19 lockdown: ‘City sees nine incidents of gathering of crowd daily’,Genuine
,42 doctors of Pune’s Dr DY Patil hospital test negative for Covid-19,Genuine
,A new plan and antibody tests: Covid-19 news from India,Genuine
,War against Covid-19 myths has Pune scientists helping world keep it real,Genuine
,Bhopal reports 54 coronavirus cases after 14 more test positive,Genuine
,Coronavirus update: New Zealand minister goes on a drive amid Covid-19 lockdown; demoted,Genuine
,"Covid-19 death toll rises to 111 in India, number of cases to 4,281: Health Ministry",Genuine
,"Covid-19: Across West Asia, life in lockdown is a study in contrast",Genuine
,Resume interstate traffic after ‘comprehensive broad discussion: Bhupesh Baghel to PM,Genuine
,Covid-19 outbreak: Mukesh Ambani’s net worth drops 28% to USD 48 billion in 2 months,Genuine
,"60-year-old Covid-19 patient dies in Bikaner, 12 new cases in Rajasthan",Genuine
,"Amid coronavirus crisis, a look at countries untouched by the deadly contagion",Genuine
,"Cops, docs get exemption from salary cut in Telugu states, to get full salaries",Genuine
,‘Will do all we can’: How PM Modi responded to Trump’s request on Covid-19 drug,Genuine
,"Covid-19: Birth of Corona, a Great Indian Bustard chick in Jaisalmer enthuses bird lovers",Genuine
,"In act of solidarity, to light candle of hope, Pune switches off at 9pm",Genuine
,Covid-19: West Bengal FM urges Nirmala Sitharaman to release state’s Revenue Deficit Grant in 3 installments,Genuine
,Odisha records first coronavirus death after 72-year-old Jharpada man tests positive,Genuine
,"2 FIRs against Tablighi workers for spreading disease in hospital, quarantine centre",Genuine
,Coronavirus update: Odisha’s Ganjam district to fine people for not wearing masks,Genuine
,"Coronavirus update: MP tribal beaten to death by police during lockdown, alleges family",Genuine
,"Finding a balance in the fight against Covid-19, writes Karan Thapar",Genuine
,"UP-bound 13 bikers from Vizag caught in Jamshedpur, quarantined in PCTC",Genuine
,DoE directs schools to provide food for disabled students during lockdown,Genuine
,‘Let’s light a lamp’: PM Modi tweets Atal Bihari Vajpayee’s poem as reminder for Sunday,Genuine
,"UK PM Boris Johnson ‘doing well’ in hospital, stays in charge of COVID-19 response",Genuine
,Current Covid-19 spread mimics H1N1 pandemic of 2009: Govt document,Genuine
,"Coronavirus update: British PM Boris Johnson had oxygen support, not on ventilator, says minister",Genuine
,Trader who died in Varanasi on Friday tested positive for coronavirus,Genuine
,France to test plasma of coronavirus survivors to treat sick,Genuine
,"News updates from Hindustan Times at 5 PM: Uddhav Thackeray talks about communal virus, then issues a warning on Covid-19 messages and all the latest news",Genuine
,Iran will never ask United States for coronavirus help: Report,Genuine
,Mumbai’s Workhardt hospital shut after 26 nurses test Covid-19 positive,Genuine
,Maharashtra govt to focus on containment of Covid-19 in hotspots,Genuine
,Centre allows mineral production in Rajasthan,Genuine
,"News updates from Hindustan Times at 1 pm: Covid-19 statewise tally: Tamil Nadu, Delhi outnumber coronavirus cases in Kerala and all the latest news at this hour",Genuine
,Volunteers unite to map Mumbai’s hunger amid lockdown,Genuine
,Foreign Tablighi workers stopped from leaving at airports; cops say action begins,Genuine
,"Covid-19: Centre may extend lockdown after Apr 14 as states, experts make request",Genuine
,Covid-19 cases in Mumbai tripled in five days,Genuine
,People of India will together fight Covid-19: Rahul Gandhi,Genuine
,Coronavirus update: Bengaluru civic body uses two hotels as quarantine centres,Genuine
,"Covid-19 update: New York gets 1,100 ventilators with help from China, Oregon",Genuine
,"19 more positive cases in Andhra Pradesh in last 24 hrs, tally goes up to 180",Genuine
,"More than 60,000 deaths worldwide from coronavirus",Genuine
,Mumbai woman stuck in Delhi thanks Maharashtra CM for help,Genuine
,"1,445 out of 4,067 Covid-19 cases linked to Tablighi Jamaat: Health Ministry",Genuine
,"Covid-19 outbreak: 18-yr-old skips birthday celebration, donates piggy bank saving to CM fund",Genuine
,Coronavirus update: Donald Trump sends wishes to ‘very good friend’ Boris Johnson as his Covid-19 symptoms ‘worsen’,Genuine
,‘Colloportus your doors’: Mumbai Police’s Harry Potter-inspired lockdown message,Genuine
,Covid-19: BMC seals area around Uddhav Thackeray’s residence as tea seller tests positive,Genuine
,‘Lighting candles okay as there is nothing to do at home’: Raj Thackeray,Genuine
,Bengal Governor urges Mamata to work together with PM to combat Covid-19,Genuine
,Local officials not getting lockdown instructions right: Centre to states,Genuine
,Biomedical waste from quarantine homes remain a potential hazard,Genuine
,Covid-19 update- ‘Must help others but…’: Rahul Gandhi weighs in after India eases hydroxychloroquine export,Genuine
,Students of classes 1-8 to be promoted without exams in Haryana: CM Khattar,Genuine
,Indian zoos put on ‘highest alertness’ after Bronx zoo tiger tests positive of COVID-19,Genuine
,"Covid-19 suspect dies while trying to escape from hospital, report comes negative",Genuine
,"Covid-19 outbreak: US, UK set to evacuate their nationals from India",Genuine
,"‘You make us proud, inspire us’: UN Chief lauds nurses, healthcare workers on World Health Day",Genuine
,"Queen to address Britons amid Covid-19 crisis, Dubai imposes lockdown: 10 points",Genuine
,Show political imagination | HT editorial,Genuine
,Passenger trains may be resumed on a case-to-case basis: Explained,Genuine
,"Coronavirus: 4 northeast states untouched by Covid-19, no cases in Lakshadweep",Genuine
,"In times of Covid-19, doctor-turned-politicians lend a hand",Genuine
,Greater Noida contributes for fight against Covid-19,Genuine
,259 of 386 Covid-19 cases in national capital have Markaz link: Delhi health minister,Genuine
,India hits out at Imran Khan for his comments on J&K domicile rules,Genuine
,Coronavirus roundup: Developments in India and rest of world,Genuine
,Lockdown poses challenges for persons with disabilities despite 'curfew passes' protocol,Genuine
,'Unruly' Tablighis be killed with bullets: MNS chief,Genuine
,"Four Hizbul  terrorists killed, soldier injured in Kulgam encounter",Genuine
,"3 soldiers dead in 2 J&K ops in 24 hrs, 9 terrorists killed",Genuine
,NCW gets SOS from women facing violence at home during lockdown,Genuine
,Full Text: PM Modi's address to the nation,Genuine
,"Sonia Gandhi slams govt for 'unplanned' lockdown, Amit Shah says Congress playing 'petty politics'",Genuine
,Have restricted my movement to break COVID-19 chain: CRPF DG after doc tests positive,Genuine
,"PM Modi, Prince Charles discuss coronavirus pandemic",Genuine
,Migrant workers need to assured society is with them: RSS general secretary,Genuine
,Coronavirus: Restrictions in Kashmir Valley tightened,Genuine
,PM Modi leads country in lighting diyas to express resolve to win anti-corona battle,Genuine
,Covid-19: DRDO develops portable backpack for sanitisation equipment,Genuine
,"Curfew-like 48-hour total shutdown in Bhubaneswar, Bhadrak and Cuttack",Genuine
,"5 more test Covid-19 positive, tally rises to 75 in J&K",Genuine
,Coronavirus: It may be time for everyone to mask up,Genuine
,Maharashtra Congress seeks special burial spots for Covid-19 victims,Genuine
,"Coronavirus latest updates: CRPF DG, senior officers under home quarantine",Genuine
,What WHO has to say on the usage of facemasks against Covid-19,Genuine
,ICMR issues advisory for rapid antibody-based blood tests for Covid-19,Genuine
,"On 40th foundation day, BJP expresses gratitude to founding members, leaders, workers",Genuine
,Make your own face mask at home. It’s simple,Genuine
,"Coronavirus: Death toll in India rises to 77, number of cases to 3,374",Genuine
,Railways take lead in essential supply with freight & parcel trains,Genuine
,"Covid-19: Centre fights virus on the one hand, polarisation on the other",Genuine
,"Modi, Bolsonaro discuss ways to jointly fight Covid-19",Genuine
,How Covid war is hurting India's non-Covid patients,Genuine
,Covid-19: India's cash transfer scheme inspires other countries,Genuine
,"Tablighi Jamaat event attendees should be 'caught', seize phones to examine call details: Yogi Adityanath",Genuine
,"PM dons mundu & gamosa, shines light on integration",Genuine
,4 terrorists killed by security forces in J&K's Kulgam,Genuine
,Rs 56cr for innovations to combat Covid-19 pandemic,Genuine
,Coronavirus: How to make a mask?,Genuine
,"Centre revokes visas, will deport Tablighi members",Genuine
,Coronavirus: DRDO develops portable decontamination chamber,Genuine
,"After food, people in relief camps want help to recharge phones",Genuine
,Light up lamps on Sunday night to display collective strength to defeat coronavirus: PM Modi,Genuine
,"Stay Home, Save Lives: Google Doodle lists measures to prevent coronavirus",Genuine
,BJP president Nadda for popularising use of mask through mass campaign,Genuine
,"Covid-19 testing, treatment free for Ayushman Bharat beneficiaries at private labs, empanelled hospitals",Genuine
,"PPEs in short supply, medics get infected",Genuine
,"Coronavirus: Amit Shah, Javadekar attend GoM meet at Rajnath Singh's residence",Genuine
,Health ministry issues guidelines for states on oxygen supply to facilities handling Covid-19 cases,Genuine
,Ram Vilas Paswan thanks FCI workers for timely delivery of grains amid COVID-19 lockdown,Genuine
,DIY masks: What precautions you need to take while using a handmade mask,Genuine
,PM Narendra Modi's video message on Covid-19: Key points,Genuine
,Special milk train to run at 110 kmph,Genuine
,"About 40,000 Indian seafarers stranded across globe on account of lockdown: Maritime bodies",Genuine
,JKAP welcomes changes to domicile rule,Genuine
,PM Modi discusses coronavirus pandemic with German Chancellor,Genuine
,How employers are using new tech to track those working from home,Genuine
,Govt unveils Aarogya Setu COVID-19 tracker app,Genuine
,"Modi calls all-party video meet, TMC says it’ll skip it",Genuine
,EPFO to accept Aadhaar as birth proof online from subscribers,Genuine
,Coronavirus roundup: Developments in India and rest of world,Genuine
,Govt fears waste of milk & vegetables as enough local produce don't reach market,Genuine
,‘Professional PIL shops' must be locked down during Covid-19 pandemic: Centre to SC,Genuine
,Covid-19: Three IAF personnel in quarantine,Genuine
,Coronavirus: Why do I need to wear a mask?,Genuine
,Govt made 'grave mistake' by not taking states into confidence on lockdown: Veerappa Moily,Genuine
,Children's helpline receives nearly 3 lakh calls since lockdown,Genuine
,Four institutes get 1.3cr funding for Covid-19 solutions,Genuine
,"PM holds talks with former Presidents, ex-PMs, party heads",Genuine
,"CSIR-IMTECH steps in to take up 100 sample testing a day for COVID-19, move to boost India’s testing capacity",Genuine
,SC employees take salary cut to contribute Rs 1 crore to PM Cares Fund,Genuine
,"UP, MP invoke NSA for attacks, harassment of health workers",Genuine
,Shutting classrooms enables to bring remote learning closer,Genuine
,"Entire country lit lamps on PM's call, shows Indians united in battle against Covid-19: JP Nadda",Genuine
,"Decision on reopening schools, colleges on April 14: HRD minister",Genuine
,400 COVID-19 cases with linkage to Tablighi Jamaat found: Health Ministry,Genuine
,"Masks, screening health status, social distancing: Railways prepares for post-lockdown services",Genuine
,Coronavirus: Govt advises people to wear homemade face covers in public places,Genuine
,Prince Charles' office refutes Indian minister's Ayurveda link to Covid-19,Genuine
,"Centre asks states to ensure smooth harvesting, sowing activities",Genuine
,"Web platform to help farmers with virtual market, maintains supply chain",Genuine
,Don't cross 'Lakshman Rekha' of social distancing: PM Modi urges countrymen,Genuine
,Coronavirus: Do I need to clean and dispose of a mask?,Genuine
,Lifting of lockdown depends on compliance to norms: Maha CM,Genuine
,COVID-19: Govt holding online awareness sessions with anganwadi workers,Genuine
,Two terrorists reportedly killed in encounter with security forces in J&K's Kulgam,Genuine
,'Let's make India COVID-19 free': PM Modi on BJP's 40th foundation day,Genuine
,COVID-19: Orders for over 10 crore anti-malarial hydroxychloroquine tablets placed by Centre,Genuine
,"Arunachal CM Khandu tweets 'lockdown will end on April 15', then deletes it",Genuine
,Netizens split over response to PM’s diya call,Genuine
,"Disseminate info, book lockdown violators under IPC, DM Act, Home Secretary tells states",Genuine
,102 new Covid-19 cases in Tamil Nadu; total 411,Genuine
,"Coronavirus: Shortage of PPE, masks easing, says govt",Genuine
,Coronavirus: Kerala tops recovery-rate table,Genuine
,Pak mastermind of Kabul gurdwara attack arrested,Genuine
,Govt mulls sops for labourers in key services,Genuine
,31 co-passengers of Manipur's 2nd positive case asked to report to corona authorities,Genuine
,Opposition slams PM Modi's appeal to light lamps on April 5,Genuine
,Priyanka pledges Cong workers support to religious organisations in COVID-19 relief efforts,Genuine
,Switching off lights could lead to grid collapse : Tharoor on PM Modi's call,Genuine
,Govt initiates blacklisting proceedings against 360 foreign Tablighi Jamaat members,Genuine
,PM Narendra Modi holds meeting of Empowered Groups to formulate response against spread of coronavirus,Genuine
,PM s appeal on lighting lamps is BJP's hidden agenda : HD Kumaraswamy,Genuine
,"Covid-19 death toll in India rises to 62, cases to 2,547",Genuine
,"PM Modi, Trump agree to deploy 'full strength' of India-US partnership to fight coronavirus",Genuine
,Now KV's and JNV's to provide 27% quota for OBC,Genuine
,"5,500km international borders in NE region shut during lockdown",Genuine
,Centre must consider number of Covid-19 cases to allocate funds to states: Ahmed Patel,Genuine
,Govt should have called all party meet over Covid-19: Congress,Genuine
,"Covid-19 lockdown: For a change, Yamuna flows cleaner and full",Genuine
,"Army foils infiltration bid in Kupwara, 5 terrorists, one soldier killed",Genuine
,COVID-19: Over 400 more test positive; PM hints at 'staggered' exit post 21-day lockdown,Genuine
,"Home ministry reminds states of its order, asks them to allow agri operations during lockdown period",Genuine
,"Those who die due to epidemic are martyrs, their last rites must be performed immediately: Owaisi",Genuine
,"Cops rope in drone enthusiasts, photographers for surveillance",Genuine
,Science ministry sets up a rapid response centre at IIT Bombay to combat COVID-19,Genuine
,COVID-19: AIIMS Delhi doctor tests positive,Genuine
,Give more financial aid to states to help them deal with coronavirus outbreak: Congress to Centre,Genuine
,'Assalaam Alaikum!' This is Karachi's control welcoming Air India.. We're proud of you',Genuine
,"Fresh cases of coronavirus in Rajasthan, curfew imposed in two areas",Genuine
,Govt likely to allow flight operations in staggered manner post lockdown,Genuine
,YSRCP MP Midhun Reddy seeks fiscal stimulus for Andhra Pradesh,Genuine
,Kailash Satyarthi brings focus on child protection during lockdown,Genuine
,Health minister concerned over misbehavior with doctors treating corona patients,Genuine
,What WHO and CDC have to say on usage of facemasks against Covid-19,Genuine
,What awaits migrants when they reach home,Genuine
,"‘Home test kit’ sold online, regulator says not approved",Genuine
,"Swap stranded Indians, Brits on UK charter planes, says Keith Vaz",Genuine
,Govt gives stranded foreigners exemption from lockdown,Genuine
,HC stays Kerala’s move to sell liquor to tipplers,Genuine
,"Priyanka Gandhi urges UP govt to listen to woes of medical staff from Banda, ensure justice",Genuine
,"Railways issues 'restoration plan' to zones, asks to prepare for resumption of services from April 15",Genuine
,"Total 17 seats in Bihar legislative council to fall vacant, as Election Commission defers beginning of poll process due to lockdown",Genuine
,MHA starts blacklisting 360 foreign Tablighi members who left India,Genuine
,PM pays tribute to Jagjivan Ram on birth anniversary,Genuine
,SC to govt: End Kerala-Karnataka border deadlock,Genuine
,"Wedlockdown: Girl in Delhi, boy in Mumbai tie the knot",Genuine
,Lockdown step: 'Home delivery' of FIR in UP's Muzaffarnagar,Genuine
,Omar Abdullah showers praise on Uddhav Thackeray,Genuine
,Covid-19: 107 foreigners under quarantine in Haryana,Genuine
,"If I feel like sleeping, I will do that: Mamata on PM's call to light candles",Genuine
,Army havaldar commits suicide in Samba,Genuine
,Designate officers to issue authorisation letters to key supply chain firms: Centre to states,Genuine
,TV viewership soars to record levels amid virus lockdown,Genuine
,"960 Tablighi foreigners blacklisted, visas cancelled by MHA; states told to take legal action",Genuine
,Rate of doubling of Covid-19 cases 4.1 days; without Jamaat incident it would have been 7.4: Centre,Genuine
,"Armed forces further ramp up medical facilities, dedicate 19 hospitals solely for Covid-19 patients",Genuine
,Coronavirus: N?SA to be slapped against persons who attack policemen enforcing lockdown in UP,Genuine
,Lighting lamps alone won't help win war against Covid-19: Congress,Genuine
,"Stay home, save lives: Google Doodle shares tips to prevent spread of coronavirus",Genuine
,Some doctors believe BCG may be helpful against COVID-19,Genuine
,"Coronavirus: India's Covid-19 death toll rises to 68, number of cases to 2,902",Genuine
,Covid-19 positive cases in Andhra Pradesh rise to 143,Genuine
,ICJ moves UNHRC against China for Covid-19 reparations,Genuine
,Venkaiah Naidu urges countrymen to show solidarity with COVID-19 warriors by lighting lamps tonight,Genuine
,"Covid-19 death toll rises to 75, cases climb to 3,072",Genuine
,Innovations in times of Covid19,Genuine
,Could we see a second Covid-19 wave?,Genuine
,Management of waste from Covid-19 isolation wards now part of 'essential services',Genuine
,"Coronavirus: Can't evacuate Indians stranded abroad, taking steps for their safety, Centre tells HC",Genuine
,US opening doors to Indian medical graduates under Covid-19 pressure,Genuine
,"Coronavirus latest updates: Death toll rises to 75, total cases climb to 3,072",Genuine
,"It's everyone's collective duty to help, protect health workers: Priyanka Gandhi",Genuine
,"What happened in Nizamuddin is unfortunate, but targeting a community for it is unacceptable: YS Jagan Mohan Reddy",Genuine
,"Light diyas on Sunday at 9pm: Don’t believe in unscientific forwards, govt says",Genuine
,Coronavirus: Toll surges past 100 with 27 deaths reported in 24 hours,Genuine
,PM shares Vajpayee's famous poem to remind people to light diyas on Sunday night,Genuine
,Govt app to track if you have been near a Covid +ve person,Genuine
,Covid-19: Yogi Adityanath ensures long haul for Tablighis in UP,Genuine
,"No vision of future, just feel-good moment curated by 'Photo-Op PM': Shashi Tharoor on PM Modi's video message",Genuine
,"Centre agrees to submit status report on migrant workers to SC, but slams frivolous PILs",Genuine
,"District courts used video-conference extensively, why can't SC & HCs in resuming full court operation?",Genuine
,Centre agrees to submit status report on migrant workers' shelter and food,Genuine
,Nine new COVID-19 cases reported in Kerala,Genuine
,"Holding diya in hand, PM Modi's mother responds to lights-out call",Genuine
,SC seeks response from Centre on plea by activists for payment of wages to migrant workers,Genuine
,First J&K HC judge takes oath under Indian Constitution,Genuine
,Why Covid-19 strikes in clusters,Genuine
,People feel 50-80% Covid-19 news on social media 'fake': Survey,Genuine
,Countrymen showed unprecedented discipline and sense of service during lockdown: PM Modi,Genuine
,Coronavirus latest updates: 704 new cases reported since Sunday,Genuine
,"Coronavirus:  Modi speaks to  former presidents, PMs, Sonia & other leaders",Genuine
,Railways look at RORO services for faster movement of trucks with essentials,Genuine
,‘Tablighi chief ignored advice of clerics on cancelling meet’,Genuine
,Coronavirus: EC uses constitutional powers to further defer Rajya Sabha polls to 18 seats,Genuine
,"Covid-19 cases continue global advance, toll above 54,000",Genuine
,Appeal people not to visit places of worship during lockdown: Islamic Centre to religious leaders,Genuine
,Covid-19 lockdown: Autorickshaw drivers seek govt relief,Genuine
,Ashok Gehlot appeals to Tablighi Jamaat attendees to report for Covid-19 screening,Genuine
,"Centre to give Rs 11,092cr to states to deal with Covid-19",Genuine
,"Relief measures announced till date provide no succour to travel, tourism industry, Industry bodies say",Genuine
,J&K political parties call amended domicile rules 'cosmetic',Genuine
,Covid-19: 4 men slapped with NSA for attacking health workers,Genuine
,"CRPF DG, senior officers tested for Covid-19, several under home quarantine",Genuine
,Day 10 of coronavirus lockdown: Ground report from Indian cities,Genuine
,Sonia Gandhi's criticism of lockdown insensitive; this is not time for politics: BJP chief J P Nadda,Genuine
,"NHA teams, Uber to work together for transportation of frontline healthcare workers",Genuine
,India ‘considering’ Trump’s plea on supply of key drug,Genuine
,Netizens hit out at Centre over decision to accept foreign aid,Genuine
,Coronavirus national roundup: India reports highest spike in positive cases over last 24 hours,Genuine
,States to issue authorization letters having nation-wide supply chains of essential goods: Home ministry,Genuine
,"How India's fighting Covid-19 with low-cost ventilators, face shields",Genuine
,Bihar opposition leaders assail PM Modi for skipping 'real issues' in his address to nation',Genuine
,'Cover your face': Countries across the globe urge people to use face masks to fight coronavirus,Genuine
,Covid-19 outbreak: How to make your own face mask at home,Genuine
,Why Kerala is a home to 'outsiders',Genuine
,PM Modi tweets #9pm9minute to remind people to light up diyas tonight,Genuine
,Central ministers have packed schedule at home during lockdown,Genuine
,Highest single-day casualty of 27 takes India’s corona toll to 124,Genuine
,Is 2 years jail term enough for malignant act to spread life threatening disease?,Genuine
,Karnataka moves SC against Kerala HC's direction on opening sealed Karnataka-Kerala border for Covid patients,Genuine
,"Congress playing 'petty politics', should put up united front against COVID-19 pandemic: BJP",Genuine
,"West Bengal death toll rises to seven, Covid-19 cases cross 50",Genuine
,"Before his death, ex-Hazuri Raagi complained of not getting 'proper treatment'",Genuine
,"Covid-19: NE tally rises to 24 with 5 new cases in Assam, Manipur and Arunachal",Genuine
,"PM Modi's 9-minute blackout call goes well, no disruption electricity grid",Genuine
,Malaysia's indigenous people flee into forests to escape coronavirus,Genuine
,"Battle against coronavirus: Millions of Indians respond to PM's appeal; light candles, diyas to show collective resolve",Genuine
,"1,023 Covid-19 cases with links to Tablighi Jamaat reported from 17 states: Govt",Genuine
,"Covid-19 in India: Testing numbers to double to 20,000 in 3 days",Genuine
,"28,000 temporary shelters, 19,500 food camps for migrant workers functional across states: MHA",Genuine
,Sample testing criteria for Covid-19 may be revised: Health Ministry,Genuine
,"Vice President M Venkaiah Naidu, his wife light lamps in solidarity against coronavirus",Genuine
,"DRDO develops bio suits for doctors, paramedics engaged in treating coronavirus patients",Genuine
,"CRPF airlifts LoC man after son begins 2,100 km cycle ride from Mumbai amid lockdown",Genuine
,DIY masks: What precautions you need to take while removing handmade mask,Genuine
,"Covid-19: From drones to testing labs, IISc offers 11 technologies",Genuine
,Shiv Sena's Raut lashes out at PM's 'light up lamps' appeal,Genuine
,How to clean and sanitize your homemade masks every day,Genuine
,"If it’s a disaster, you can count on them",Genuine
,Shining torches in the sky won’t address India’s COVID-19 problem: Rahul Gandhi,Genuine
,No threat to grid from PM's lights-out call on Sunday,Genuine
,"PM Modi calls on Spanish PM, discusses situation arising out of Covid-19 pandemic",Genuine
,Editors Guild objects to govt stand,Genuine
,"BJP is true carrier of India's democracy, says Amit Shah",Genuine
,"Coronavirus latest update: Over 2,500 positive cases in India; 62 deaths",Genuine
,Covid-19: How safe are our doctors?,Genuine
,'India cannot relax its guard; needs to ramp up testing strategy’,Genuine
,World Bank rushes in $1bn for India,Genuine
,Day 11 of coronavirus lockdown: Ground report from Indian cities,Genuine
,Coronavirus: 54 workers of Pondy govt hospital sacked for absence at duty,Genuine
,What CDC has to say on the usage of facemasks against Covid-19,Genuine
What is coronavirus,"Corona viruses are a large family of viruses which may cause illness in animals or humans. In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.",Genuine
What is covid 19,"COVID-19 is the infectious disease caused by the most recently discovered corona virus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 20",Genuine
What are the symptoms of COVID 19,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",Genuine
How does COVID-19 spread,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.",Genuine
Can the virus that causes COVID-19 be transmitted through the air?,Studies to date suggest that the virus that causes COVID-19 is mainly transmitted through contact with respiratory droplets rather than through the air.,Genuine
Can CoVID-19 be caught from a person who has no symptoms?,"The main way the disease spreads is through respiratory droplets expelled by someone who is coughing. The risk of catching COVID-19 from someone with no symptoms at all is very low. However, many people with COVID-19 experience only mild symptoms. This is particularly true at the early stages of the disease. It is therefore possible to catch COVID-19 from someone who has, for example, just a mild cough and does not feel ill.",Genuine
Can I catch COVID-19 from the feces of someone with the disease?,"The risk of catching COVID-19 from the feces of an infected person appears to be low. While initial investigations suggest the virus may be present in feces in some cases, spread through this route is not a main feature of the outbreak. The ongoing research on the ways COVID-19 is spread and will continue to share new findings. Because this is a risk, however, it is another reason to clean hands regularly, after using the bathroom and before eating.",Genuine
Washing Hands regularly,Regularly and thoroughly clean your hands with an alcoholbased hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.,Genuine
Social Distancing,"Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.",Genuine
"Avoid touching eyes, nose and mouth.","Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick.",Genuine
Follow good respiratory hygiene,"Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene you protect the people around you from viruses such as cold, flu and COVID-19.",Genuine
seek medical attention and call in advance,"Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.",Genuine
COVID-19 hotspots,"Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places – especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas.",Genuine
Self-isolate,"Self-isolate by staying at home if you begin to feel unwell, even with mild symptoms such as headache, low grade fever (37.3 C or above) and slight runny nose, until you recover. If it is essential for you to have someone bring you supplies or to go out, e.g. to buy food, then wear a mask to avoid infecting other people.",Genuine
Call in advance,"If you develop fever, cough and difficulty breathing, seek medical advice promptly as this may be due to a respiratory infection or other serious condition. Call in advance and tell your provider of any recent travel or contact with travelers. Why? Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also help to prevent possible spread of COVID-19 and other viruses.",Genuine
